open,high,low,close,volume,timestamp
154.45,154.58,154.36,154.44,75.57,1723294800000
154.36,154.41,153.94,153.97,144.102,1723295100000
153.93,153.93,153.57,153.60,92.484,1723295400000
153.60,153.71,153.29,153.55,214.97,1723295700000
153.46,154.07,153.37,153.80,87.48,1723296000000
153.73,153.93,153.60,153.70,41.887,1723296300000
153.68,153.99,153.65,153.97,113.082,1723296600000
153.97,154.16,153.86,153.86,51.831,1723296900000
153.84,153.84,153.36,153.54,140.866,1723297200000
153.45,153.65,153.36,153.54,83.771,1723297500000
153.48,153.48,153.13,153.29,71.165,1723297800000
153.24,153.25,152.94,153.04,44.2,1723298100000
153.07,153.34,152.95,153.07,110.286,1723298400000
153.05,153.35,152.89,153.35,41.82,1723298700000
153.38,153.50,153.12,153.40,148.805,1723299000000
153.49,153.51,153.01,153.39,76.872,1723299300000
153.33,153.56,153.25,153.41,43.963,1723299600000
153.34,153.40,153.11,153.38,73.594,1723299900000
153.32,153.56,153.14,153.51,68.855,1723300200000
153.51,153.84,153.51,153.76,125.363,1723300500000
153.71,153.96,153.61,153.69,62.09,1723300800000
153.74,153.93,153.55,153.68,73.33,1723301100000
153.69,153.93,153.61,153.93,46.383,1723301400000
153.97,153.98,153.61,153.74,30.567,1723301700000
153.75,153.84,153.47,153.55,32.343,1723302000000
153.68,154.24,153.68,154.23,61.782,1723302300000
154.14,154.95,153.88,154.77,230.455,1723302600000
154.77,155.14,154.52,154.73,386.178,1723302900000
154.69,154.76,154.31,154.60,87.213,1723303200000
154.69,154.96,154.63,154.84,36.387,1723303500000
154.72,155.11,154.63,155.02,31.577,1723303800000
154.95,155.09,154.81,154.94,67.964,1723304100000
154.97,154.97,154.64,154.67,36.798,1723304400000
154.57,154.72,154.41,154.46,49.754,1723304700000
154.31,154.66,154.31,154.47,36.764,1723305000000
154.46,154.59,153.93,153.93,96.465,1723305300000
153.97,154.58,153.92,153.92,617.398,1723305600000
153.90,154.12,153.06,153.27,1079.89,1723305900000
153.28,153.63,153.14,153.60,53.402,1723306200000
153.50,153.61,153.18,153.21,86.876,1723306500000
153.20,153.62,153.19,153.44,55.114,1723306800000
153.41,153.86,153.32,153.54,87.328,1723307100000
153.54,153.78,153.47,153.62,57.985,1723307400000
153.66,153.75,153.31,153.31,37.593,1723307700000
153.35,153.72,153.35,153.61,51.874,1723308000000
153.56,153.78,153.40,153.78,39.989,1723308300000
153.62,153.62,153.24,153.55,36.024,1723308600000
153.49,153.69,153.36,153.62,70.189,1723308900000
153.62,153.73,153.36,153.43,22.47,1723309200000
153.37,153.51,153.14,153.51,30.839,1723309500000
153.52,153.83,153.51,153.69,35.608,1723309800000
153.79,153.81,153.24,153.63,79.327,1723310100000
153.64,153.66,153.35,153.49,27.66,1723310400000
153.51,153.75,153.43,153.64,62.074,1723310700000
153.67,153.69,153.44,153.59,20.57,1723311000000
153.62,153.75,153.44,153.62,28.503,1723311300000
153.60,153.72,153.50,153.62,31.332,1723311600000
153.60,153.62,153.24,153.51,54.739,1723311900000
153.51,154.50,153.51,154.42,166.771,1723312200000
154.44,154.47,153.96,154.41,127.34,1723312500000
154.29,154.48,154.18,154.41,44.723,1723312800000
154.43,154.57,154.17,154.42,40.889,1723313100000
154.42,155.19,154.37,154.91,883.071,1723313400000
155.14,155.14,154.61,154.83,140.166,1723313700000
154.86,154.86,154.03,154.72,586.623,1723314000000
154.73,155.11,154.61,154.63,102.627,1723314300000
154.58,154.58,154.14,154.33,53.195,1723314600000
154.35,154.69,154.17,154.69,48.816,1723314900000
154.71,154.97,154.71,154.87,54.989,1723315200000
154.90,155.03,154.62,154.67,55.623,1723315500000
154.71,154.72,154.26,154.36,56.807,1723315800000
154.35,154.36,154.07,154.07,104.226,1723316100000
154.10,154.10,153.73,153.87,82.601,1723316400000
153.81,153.85,153.59,153.59,51.844,1723316700000
153.62,153.84,153.60,153.77,61.09,1723317000000
153.78,154.24,153.64,154.10,37.33,1723317300000
154.20,154.44,154.15,154.25,43.451,1723317600000
154.26,154.57,154.21,154.37,73.73,1723317900000
154.36,154.59,154.36,154.59,34.009,1723318200000
154.61,154.97,154.61,154.96,39.09,1723318500000
154.96,155.36,154.72,155.13,208.474,1723318800000
155.17,155.24,154.83,154.90,38.043,1723319100000
155.00,155.02,154.27,154.42,81.956,1723319400000
154.42,154.66,154.42,154.53,40.351,1723319700000
154.60,154.81,154.34,154.38,63.105,1723320000000
154.36,154.94,154.30,154.83,35.388,1723320300000
154.83,154.85,154.51,154.51,46.63,1723320600000
154.53,154.54,154.20,154.24,23.718,1723320900000
154.19,154.32,154.06,154.09,123.621,1723321200000
154.09,154.29,153.88,153.88,196.174,1723321500000
153.91,154.14,153.79,154.01,31.379,1723321800000
154.01,154.12,153.95,154.09,32.775,1723322100000
154.18,154.18,154.04,154.15,21.486,1723322400000
154.18,154.27,154.04,154.08,65.128,1723322700000
154.09,154.50,153.93,154.48,51.326,1723323000000
154.47,154.67,154.43,154.48,42.121,1723323300000
154.44,154.79,154.44,154.67,13.419,1723323600000
154.76,155.06,154.76,154.98,146.731,1723323900000
154.99,155.15,154.93,155.02,189.494,1723324200000
155.06,155.11,154.77,155.10,38.251,1723324500000
155.08,155.13,155.04,155.06,7.951,1723324800000
155.04,155.09,154.89,154.99,33.797,1723325100000
155.00,155.05,154.75,154.85,7.572,1723325400000
